actmed,latitude,longitude,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore
29.5,34.6992579,-86.74833180000002,0,0,1,0,0,0,0,1,0
29.5,52.205337,0.121817,0,0,1,0,0,0,0,1,0
29.5,64.1033023,-21.8832579,1,0,0,0,0,0,0,1,0
29.5,52.240477,-0.9026559999999999,0,0,0,1,0,0,0,1,0
29.5,64.146582,-21.9426354,0,0,0,1,0,0,0,1,0
29.5,47.0091808,7.001589599999999,0,0,0,1,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,1,0,0,0,0,0,1,0
29.5,50.62925,3.057256,1,0,0,0,0,0,0,1,0
29.5,64.02910539999999,-21.9684626,0,1,0,0,0,0,0,1,0
29.5,39.4699075,-0.3762881,0,1,0,0,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,1,0,0,0,0,0,1,0
29.5,35.96063839999999,-83.9207392,1,0,0,0,0,0,0,1,0
29.5,34.7688528,137.3916837,0,0,0,1,0,0,0,1,0
29.5,33.5185892,-86.8103567,0,1,0,0,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,1,0,0,0,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,0,0,1,0,0,0,1,0
29.5,35.6145169,-88.81394689999998,1,0,0,0,0,0,0,1,0
29.5,35.1520266,-86.57055079999998,1,0,0,0,0,0,0,1,0
29.5,50.9461538,3.1386901000000003,1,0,0,0,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,0,0,1,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,1,0,0,0,0,0,1,0
29.5,34.730368799999994,-86.5861037,0,1,0,0,0,0,0,1,0
29.5,50.81787,-0.372882,0,0,0,1,0,0,0,1,0
29.5,33.5185892,-86.8103567,0,0,0,1,0,0,0,1,0
29.5,64.146582,-21.9426354,1,0,0,0,0,0,0,1,0
21.0,59.12653590000001,15.1401052,0,0,1,0,0,0,0,1,0
21.0,32.4640245,-86.45969659999999,0,0,1,0,0,0,0,1,0
21.0,55.970758,-3.1842441000000004,1,0,0,0,0,0,0,1,0
21.0,32.3792233,-86.3077368,0,0,0,1,0,0,0,1,0
21.0,-26.2041028,28.047305100000006,1,0,0,0,0,0,0,1,0
21.0,49.79130439999999,9.9533548,0,0,0,1,0,0,0,1,0
21.0,32.3792233,-86.3077368,0,1,0,0,0,0,0,1,0
21.0,50.18268610000001,8.5201703,0,1,0,0,0,0,0,1,0
21.0,61.2180556,-149.90027780000003,0,1,0,0,0,0,0,1,0
21.0,52.6308859,1.297355,0,1,0,0,0,0,0,1,0
21.0,32.3792233,-86.3077368,0,1,0,0,0,0,0,1,0
21.0,32.4798575,-86.36191629999998,0,1,0,0,0,0,0,1,0
21.0,30.7541808,-86.5727995,0,0,1,0,0,0,0,1,0
21.0,31.3151708,-85.85521609999998,0,0,0,1,0,0,0,1,0
21.0,30.6035255,-87.9036047,0,0,0,1,0,0,0,1,0
21.0,32.3792233,-86.3077368,1,0,0,0,0,0,0,1,0
21.0,30.6324149,-87.03968809999998,1,0,0,0,0,0,0,1,0
21.0,30.6035255,-87.9036047,1,0,0,0,0,0,0,1,0
21.0,30.42130899999999,-87.2169149,0,0,0,1,0,0,0,1,0
21.0,32.3792233,-86.3077368,0,0,0,1,0,0,0,1,0
21.0,30.357143800000006,-87.1638574,0,1,0,0,0,0,0,1,0
21.0,34.730368799999994,-86.5861037,0,1,0,0,0,0,0,1,0
21.0,34.6992579,-86.74833180000002,0,1,0,0,0,0,0,1,0
21.0,32.3792233,-86.3077368,0,0,0,1,0,0,0,1,0
21.0,33.8081608,-84.17019599999998,0,1,0,0,0,0,0,1,0
21.0,30.5168639,-86.48217199999998,1,0,0,0,0,0,0,1,0
21.0,36.0726354,-79.79197540000001,0,0,0,1,0,0,0,1,0
21.0,33.3401108,-86.6302625,1,0,0,0,0,0,0,1,0
21.0,33.3806716,-84.79965729999998,1,0,0,0,0,0,0,1,0
21.0,30.6053644,-87.34464919999998,0,0,0,1,0,0,0,1,0
21.0,32.6454116,-85.3782795,0,0,0,1,0,0,0,1,0
21.0,30.2697033,-87.5867598,0,0,0,1,0,0,0,1,0
21.0,33.5523269,-86.2691438,0,0,0,1,0,0,0,1,0
21.0,30.5085309,-86.50272819999998,1,0,0,0,0,0,0,1,0
21.0,35.1495343,-90.0489801,0,1,0,0,0,0,0,1,0
