act_cluster,geo_cluster,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore,college_name,admit_rate
0,0,0,0,1,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,0,1,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,1,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,5,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,8,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,1,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,0,0,0,0,1,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
0,11,1,0,0,0,0,0,0,1,0,Alabama-Huntsville,0.8062317429406037
1,1,0,0,1,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,0,1,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,11,1,0,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,0,0,1,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,7,1,0,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,1,0,0,0,1,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,1,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,3,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,11,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,1,0,0,0,0,0,1,0,Auburn Montgomery,0.8370786516853933
1,0,0,0,1,0,0,0,0,1,0,Huntingdon,0.6278911564625851
1,0,0,0,0,1,0,0,0,1,0,Huntingdon,0.6278911564625851
