,unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level12,level17,level18,level19,calsys,ft_ug,ft_ftug,ftgdnidp,pt_ug,pt_ftug,ptgdnidp,docpp,docppsp,openadmp,vet1,vet2,vet3,vet4,vet5,vet9,credits1,credits2,credits3,credits4,slo5,slo51,slo52,slo53,slo6,slo7,slo8,slo81,slo82,slo83,slo9,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libres1,libres2,libres3,libres4,libres5,libres6,libres9,tuitpl,tuitpl1,tuitpl2,tuitpl3,tuitpl4,dstnugc,dstnugp,dstnugn,dstngc,dstngp,dstngn,distcrs,distpgs,dstnced1,dstnced2,dstnced3,distnced,disab,xdisabpc,disabpct,alloncam,tuitvary,room,xroomcap,roomcap,board,xmealswk,mealswk,xroomamt,roomamt,xbordamt,boardamt,xrmbdamt,rmbrdamt,xappfeeu,applfeeu,xappfeeg,applfeeg,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,survey_year,fall_year,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,admcon9,xapplcn,applcn,xapplcnm,applcnm,xapplcnw,applcnw,xadmssn,admssn,xadmssnm,admssnm,xadmssnw,admssnw,xenrlt,enrlt,xenrlm,enrlm,xenrlw,enrlw,xenrlft,enrlft,xenrlftm,enrlftm,xenrlftw,enrlftw,xenrlpt,enrlpt,xenrlptm,enrlptm,xenrlptw,enrlptw,xsatnum,satnum,xsatpct,satpct,xactnum,actnum,xactpct,actpct,xsatvr25,satvr25,xsatvr75,satvr75,xsatmt25,satmt25,xsatmt75,satmt75,xactcm25,actcm25,xactcm75,actcm75,xacten25,acten25,xacten75,acten75,xactmt25,actmt25,xactmt75,actmt75 
0,100654.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,A,. ,2.0,1.0,1.0,R,2941,1.0,R,21,R,3682,R,3728,A,.,R,30,R,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,1.0,133.0,1.0,133.0,1.0,133.0,2018.0,2018.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,R,9638.0,R,3210.0,R,6428.0,R,8661.0,R,2793.0,R,5868.0,R,1529.0,R,625.0,R,904.0,R,1525.0,R,624.0,R,901.0,R,4.0,R,1.0,R,3.0,R,506.0,R,33.0,R,1142.0,R,75.0,R,430.0,R,520.0,R,420.0,R,510.0,R,16.0,R,19.0,R,14.0,R,20.0,R,15.0,R,18.0
1,100663.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,R,4 ,2.0,1.0,1.0,R,2980,1.0,R,21,R,7532,R,4150,A,.,R,30,R,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,1.0,111.0,1.0,111.0,1.0,111.0,2018.0,2018.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,R,7845.0,R,2745.0,R,5100.0,R,7226.0,R,2532.0,R,4694.0,R,2299.0,R,826.0,R,1473.0,R,2245.0,R,803.0,R,1442.0,R,54.0,R,23.0,R,31.0,R,7.0,R,1.0,R,2253.0,R,98.0,R,490.0,R,620.0,R,490.0,R,620.0,R,21.0,R,29.0,R,22.0,R,31.0,R,19.0,R,26.0
2,100690.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-2.0,-2.0,74.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,A,. ,2.0,2.0,2.0,A,.,3.0,A,.,A,.,A,.,A,.,R,50,R,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100706.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,A,. ,2.0,1.0,1.0,R,2437,1.0,R,21,A,.,A,.,R,10094,R,30,R,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,1.0,146.0,1.0,146.0,1.0,146.0,2018.0,2018.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,R,4543.0,R,2557.0,R,1986.0,R,3674.0,R,2133.0,R,1541.0,R,1435.0,R,908.0,R,527.0,R,1428.0,R,905.0,R,523.0,R,7.0,R,3.0,R,4.0,R,8.0,R,1.0,R,1331.0,R,93.0,R,560.0,R,700.0,R,450.0,R,680.0,R,25.0,R,31.0,R,25.0,R,34.0,R,24.0,R,30.0
4,100724.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,A,. ,2.0,1.0,1.0,R,2491,1.0,R,19,R,3346,R,2076,A,.,R,25,R,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,1.0,133.0,1.0,133.0,1.0,133.0,2018.0,2018.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,R,7783.0,R,2268.0,R,5328.0,R,7607.0,R,2183.0,R,5229.0,R,1038.0,R,369.0,R,669.0,R,1025.0,R,361.0,R,664.0,R,13.0,R,8.0,R,5.0,R,244.0,R,24.0,R,843.0,R,81.0,R,440.0,R,520.0,R,420.0,R,510.0,R,16.0,R,20.0,R,14.0,R,20.0,R,15.0,R,18.0
5,100733.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,A,. ,-2.0,-2.0,-2.0,A,.,-2.0,A,.,A,.,A,.,A,.,A,.,A,.,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100751.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,R,6 ,2.0,1.0,1.0,R,8262,2.0,A,.,R,5750,R,3802,A,.,R,40,R,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,1.0,130.0,1.0,130.0,1.0,130.0,2018.0,2018.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,R,37302.0,R,14458.0,R,22844.0,R,22032.0,R,8666.0,R,13366.0,R,6663.0,R,2903.0,R,3760.0,R,6632.0,R,2889.0,R,3743.0,R,31.0,R,14.0,R,17.0,R,1669.0,R,25.0,R,4873.0,R,73.0,R,540.0,R,640.0,R,520.0,R,640.0,R,23.0,R,31.0,R,23.0,R,34.0,R,21.0,R,29.0
7,100760.0,1.0,1.0,-2.0,0.0,1.0,0.0,1.0,2.0,0.0,-2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,1.0,-2.0,0.0,2.0,2.0,R,4 ,2.0,1.0,2.0,A,.,3.0,A,.,A,.,A,.,A,.,B,.,A,.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,100812.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,A,. ,-2.0,1.0,2.0,A,.,3.0,A,.,A,.,A,.,A,.,R,30,R,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100830.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,R,4 ,2.0,1.0,1.0,R,1200,2.0,A,.,R,4580,R,2400,A,.,R,0,R,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,1.0,146.0,1.0,146.0,1.0,146.0,2018.0,2018.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,R,5941.0,R,2139.0,R,3802.0,R,5514.0,R,2012.0,R,3502.0,R,757.0,R,262.0,R,495.0,R,730.0,R,251.0,R,479.0,R,27.0,R,11.0,R,16.0,R,48.0,R,6.0,R,646.0,R,85.0,R,510.0,R,570.0,R,480.0,R,570.0,R,19.0,R,23.0,R,18.0,R,24.0,R,16.0,R,22.0
