,0,1,2
0,North Park University,North Park University,0.0
1,Oral Roberts University,Oral Roberts University,0.0
2,Lipscomb University,Lipscomb University,0.0
3,Saginaw Valley State University,Saginaw Valley State University,0.0
4,Clemson University,Clemson University,0.0
5,Pfeiffer University,Pfeiffer University,0.0
6,Elon University,Elon University,0.0
7,Assumption College,Assumption College,0.0
8,Canisius College,Canisius College,0.0
9,Colorado State University-Pueblo,Colorado State University-Pueblo,0.0
10,College of Mount St Joseph,College of St Joseph,0.23076923076923078
11,University of Wisconsin-Whitewater,University of Wisconsin-Whitewater,0.0
12,University of Indianapolis,University of Indianapolis,0.0
13,Western Connecticut State University,Western Connecticut State University,0.0
14,Ottawa University-Ottawa,Ottawa University-Ottawa,0.0
15,Houghton College,Houghton College,0.0
16,California State University-San Marcos,California State University-San Marcos,0.0
17,University of California-Irvine,University of California-Irvine,0.0
18,Concordia University-Texas,Concordia University Texas,0.038461538461538464
19,Fort Hays State University,Fort Hays State University,0.0
20,Clarke University,Clarke University,0.0
21,The University of Tampa,The University of Tampa,0.0
22,Millikin University,Millikin University,0.0
23,Earlham College,Earlham College,0.0
24,New Jersey City University,New Jersey City University,0.0
25,Howard University,Howard University,0.0
26,Monmouth College,Monmouth College,0.0
27,Hiram College,Hiram College,0.0
28,Fairfield University,Fairfield University,0.0
29,Winthrop University,Winthrop University,0.0
30,Stony Brook University,Stony Brook University,0.0
31,LIU Brooklyn,Allen School-Brooklyn,0.5714285714285714
32,University of Denver,University of Denver,0.0
33,Michigan State University,Michigan State University,0.0
34,New York Institute of Technology,New York Institute of Technology,0.0
35,Creighton University,Creighton University,0.0
36,Waynesburg University,Waynesburg University,0.0
37,North Central College,North Central College,0.0
38,University of New Haven,University of New Haven,0.0
39,Anna Maria College,Anna Maria College,0.0
40,Arkansas Tech University,Arkansas Tech University,0.0
41,University of Akron Main Campus,University of Akron Main Campus,0.0
42,University of Massachusetts-Lowell,University of Massachusetts-Lowell,0.0
43,Saint Joseph's College of Maine,Saint Joseph's College of Maine,0.0
44,High Point University,High Point University,0.0
45,Thomas More College,Thomas More College,0.0
46,Gonzaga University,Gonzaga University,0.0
47,Centenary College,Century College,0.17647058823529413
48,Colby College,Colby College,0.0
49,Albertus Magnus College,Albertus Magnus College,0.0
50,Emory University,Emory University,0.0
51,Johns Hopkins University,Johns Hopkins University,0.0
52,SUNY at Binghamton,SUNY at Albany,0.5
53,Rutgers University-Camden,Rutgers University-Camden,0.0
54,Spring Hill College,Spring Hill College,0.0
55,Manhattan College,Manhattan College,0.0
56,Marshall University,Marshall University,0.0
57,Northwest Nazarene University,Northwest Nazarene University,0.0
58,Drake University,Drake University,0.0
59,Northeastern University,Northeastern University,0.0
60,Western New England University,Western New England University,0.0
61,University of Redlands,University of Redlands,0.0
62,Chestnut Hill College,Chestnut Hill College,0.0
63,Northern Illinois University,Northern Illinois University,0.0
64,Wells College,Wells College,0.0
65,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus,0.0
66,University of Evansville,University of Evansville,0.0
