,d_names,a_names,sim_score,admit_rate
0,North Park,North Park University,0.816496580927726,0.523352688714971
1,Oral Roberts,Oral Roberts University,0.816496580927726,0.4354269583627382
2,Lipscomb,Lipscomb University,0.7071067811865475,0.5269685607153158
3,Saginaw Valley State,Saginaw Valley State University,0.8660254037844388,0.7865279841505696
4,Clemson,Clemson University,0.7071067811865475,0.5787027027027027
5,Pfeiffer,Pfeiffer University,0.7071067811865475,0.9608904933814681
6,Elon,Elon University,0.7071067811865475,0.5397527389687405
7,Assumption,Assumption College,0.7071067811865475,0.7422193603777635
8,Canisius,Canisius College,0.7071067811865475,0.7251272559000462
9,Colorado State-Pueblo,Colorado State University-Pueblo,0.816496580927726,0.9434381951064506
10,Mount St. Joseph,College of Mount St Joseph,0.8660254037844388,0.8755221386800334
11,Wisconsin,University of Wisconsin-Whitewater,0.7071067811865475,0.8467741935483871
12,Indianapolis,University of Indianapolis,0.7071067811865475,0.8443440617353661
13,Western Connecticut State,Western Connecticut State University,0.8660254037844388,0.6548574591752007
14,Ottawa (Kan.),Ottawa University-Ottawa,0.6324555320336758,0.9887640449438202
15,Houghton,Houghton College,0.7071067811865475,0.9107806691449815
16,Cal State San Marcos,California State University-San Marcos,0.6708203932499369,0.6250979623824452
17,UC Irvine,University of California-Irvine,0.408248290463863,0.4238874635052641
18,Concordia-Texas,Concordia University-Texas,0.816496580927726,0.46845238095238095
19,Fort Hays State,Fort Hays State University,0.8660254037844388,0.8916766228594185
20,Clarke,Clarke University,0.7071067811865475,0.7752
21,Tampa,The University of Tampa,0.7071067811865475,0.522059302704464
22,Millikin,Millikin University,0.7071067811865475,0.5512032770097286
23,Earlham,Earlham College,0.7071067811865475,0.6370370370370371
24,New Jersey City,New Jersey City University,0.8660254037844388,0.4128615825962228
25,Howard,Howard University,0.7071067811865475,0.4930264396337811
26,Monmouth,Monmouth College,0.7071067811865475,0.643121426168853
27,Hiram,Hiram College,0.7071067811865475,0.5735641227380016
28,Fairfield,Fairfield University,0.7071067811865475,0.7115841798141345
29,Winthrop,Winthrop University,0.7071067811865475,0.7225204200700117
30,Stony Brook,Stony Brook University,0.816496580927726,0.3948184818481848
31,LIU,LIU Brooklyn,0.7071067811865475,0.8690079016681299
32,Denver,University of Denver,0.7071067811865475,0.7673097925009101
33,Michigan State,Michigan State University,0.816496580927726,0.686489405635503
34,New York Institute of Technology,New York Institute of Technology,1.0,0.7406589361310509
35,Creighton,Creighton University,0.7071067811865475,0.7664917541229386
36,Waynesburg,Waynesburg University,0.7071067811865475,0.7522935779816514
37,North Central College,North Central College,1.0000000000000002,0.636452719255267
38,New Haven,University of New Haven,0.7071067811865475,0.7441242993411348
39,Anna Maria,Anna Maria College,0.816496580927726,0.7755886592984143
40,Virginia Tech,Arkansas Tech University,0.408248290463863,0.8502729399532103
41,Akron,University of Akron Main Campus,0.5,0.9649172576832151
42,Massachusetts-Lowell,University of Massachusetts-Lowell,0.7071067811865475,0.6397107166337935
43,Saint Joseph's (Maine),Saint Joseph's College of Maine,0.8660254037844388,0.7778481012658228
44,High Point,High Point University,0.816496580927726,0.6417852016181652
45,Thomas College,Thomas More College,0.9999999999999998,0.8774928774928775
46,Gonzaga,Gonzaga University,0.7071067811865475,0.6651408954369904
47,Centenary (N.J.),Centenary College,0.7071067811865475,0.9094412331406551
48,Colby-Sawyer,Colby College,0.7071067811865475,0.26040318106158683
49,Albertus Magnus,Albertus Magnus College,0.816496580927726,0.6821480406386067
50,Emory,Emory University,0.7071067811865475,0.2633476394849785
51,Johns Hopkins,Johns Hopkins University,0.816496580927726,0.18133670791151107
52,Binghamton,SUNY at Binghamton,0.7071067811865475,0.42873335222442616
53,Rutgers-Camden,Rutgers University-Camden,0.7071067811865475,0.5858545112276455
54,Spring Hill,Spring Hill College,0.816496580927726,0.46270466949666467
55,Manhattan,Manhattan College,0.7071067811865475,0.6616675839295542
56,Marshall,Marshall University,0.7071067811865475,0.7868108862526169
57,Northwest Nazarene,Northwest Nazarene University,0.816496580927726,0.6169519152404238
58,Drake,Drake University,0.7071067811865475,0.6595278246205734
59,Northeastern,Northeastern University,0.7071067811865475,0.3230512625622836
60,Western New England,Western New England University,0.8660254037844388,0.8151302605210421
61,Redlands,University of Redlands,0.7071067811865475,0.6720222793487575
62,Chestnut Hill,Chestnut Hill College,0.816496580927726,0.5784581738655002
63,Northern Illinois,Northern Illinois University,0.816496580927726,0.5612796171953385
64,Wells,Wells College,0.7071067811865475,0.5966576332429991
65,Pittsburgh,University of Pittsburgh-Pittsburgh Campus,0.8164965809277261,0.5612560813799203
66,Evansville,University of Evansville,0.7071067811865475,0.8408858603066439
67,San Diego State,San Diego State University,0.8660254037844388,0.3121396321560503
68,Lewis,Lewis University,0.7071067811865475,0.5587260677466863
69,Florida International,Florida International University,0.816496580927726,0.4303583298084476
70,Tennessee Wesleyan,Tennessee Wesleyan College,0.816496580927726,0.7130214917825537
71,Fairleigh Dickinson,Fairleigh Dickinson University-Metropolitan Campus,0.6324555320336758,0.7340650876179472
72,Colorado College,Colorado College,0.9999999999999998,0.22283737024221453
73,Michigan,University of Michigan-Dearborn,0.7071067811865475,0.628361858190709
74,Central Christian,Central Christian College of Kansas,0.7071067811865475,0.5045317220543807
75,North Carolina Wesleyan,North Carolina Wesleyan College,0.8660254037844388,0.4675642594859241
76,George Mason,George Mason University,0.816496580927726,0.6202835856765201
77,Saint Peter's,Saint Peter's University,0.7071067811865475,0.5407648494711147
78,Louisville,University of Louisville,0.7071067811865475,0.7112153611171722
79,Bryant,Bryant University,0.7071067811865475,0.7655080658573091
80,Wartburg,Wartburg College,0.7071067811865475,0.7764550264550265
81,Bradley,Bradley University,0.7071067811865475,0.6694168803657041
82,Johnson State,Johnson State College,0.816496580927726,0.96875
83,Montevallo,University of Montevallo,0.7071067811865475,0.8729241877256317
84,Trinity (Conn.),Trinity College,0.4999999999999999,0.3178254051228437
85,Virginia Wesleyan,Virginia Wesleyan College,0.816496580927726,0.9310982048574445
86,Tiffin,Tiffin University,0.7071067811865475,0.3856159143075746
87,Bloomsburg,Bloomsburg University of Pennsylvania,0.5773502691896258,0.8855968858131488
88,Newman,Newman University,0.7071067811865475,0.44718909710391824
89,Villanova,Villanova University,0.7071067811865475,0.4890418281437926
90,Washington and Lee,Washington and Lee University,0.816496580927726,0.18434586949533913
91,Cleveland State,Cleveland State University,0.816496580927726,0.628693853427896
92,North Greenville,North Greenville University,0.816496580927726,0.5791245791245792
93,Albion,Albion College,0.7071067811865475,0.563882618510158
94,Sewanee,Sewanee-The University of the South,0.5773502691896258,0.6027397260273972
95,Curry,Curry College,0.7071067811865475,0.6691740412979351
96,Keystone,Keystone College,0.7071067811865475,0.7205357142857143
97,Western Illinois,Western Illinois University,0.816496580927726,0.5931400416903544
98,North Florida,University of North Florida,0.816496580927726,0.5342736248236953
99,Lehigh,Lehigh University,0.7071067811865475,0.30836444515052824
100,Menlo,Menlo College,0.7071067811865475,0.3704878048780488
101,Pittsburgh-Greensburg,University of Pittsburgh-Pittsburgh Campus,0.8164965809277261,0.5612560813799203
102,Dartmouth,Dartmouth College,0.7071067811865475,0.09779316313284292
103,Bentley,Bentley University,0.7071067811865475,0.43787535032697184
104,New England College,New England College,1.0000000000000002,0.89970295299668
105,Belmont,Belmont University,0.7071067811865475,0.7986695362942673
106,Concord,Concord University,0.7071067811865475,0.4570051890289103
107,Oklahoma Christian,Oklahoma Christian University,0.816496580927726,0.6320564516129032
108,Macalester,Macalester College,0.7071067811865475,0.3416130480323208
109,Elizabethtown,Elizabethtown College,0.7071067811865475,0.6956749672346003
110,Monmouth College,Monmouth College,0.9999999999999998,0.643121426168853
111,University of Chicago,University of Chicago,0.9999999999999998,0.08810718057022175
112,UC San Diego,University of San Diego,0.6666666666666669,0.48853195399169674
113,Truman State,Truman State University,0.816496580927726,0.7218735992828328
114,East Tennessee State,East Tennessee State University,0.8660254037844388,0.8648591400127091
115,Bucknell,Bucknell University,0.7071067811865475,0.29507990436642756
116,McKendree University,McKendree University,0.9999999999999998,0.6289424860853432
117,Pittsburgh-Bradford,University of Pittsburgh-Pittsburgh Campus,0.8164965809277261,0.5612560813799203
118,Syracuse,Syracuse University,0.7071067811865475,0.49488839364675086
119,Doane,Doane College-Crete,0.7071067811865475,0.7173435784851812
120,Lindenwood,Lindenwood University,0.7071067811865475,0.6629180230837526
121,Rogers State,Rogers State University,0.816496580927726,0.5445278969957081
122,Purdue Fort Wayne,Indiana University-Purdue University-Fort Wayne,0.6123724356957945,0.8309022150189087
123,SUNY Brockport,SUNY College at Brockport,0.816496580927726,0.47736289381563596
124,SUNY Oswego,SUNY College at Oswego,0.816496580927726,0.4863298232054874
125,St. Francis Brooklyn,University of St Francis,0.6666666666666669,0.5140679953106683
126,Mount Olive,Mount Olive College,0.816496580927726,0.4978743504959849
127,Bridgewater,Bridgewater College,0.7071067811865475,0.5493427143121644
128,Case Western Reserve,Case Western Reserve University,0.8660254037844388,0.41877511130415895
129,SUNY Maritime,SUNY Maritime College,0.816496580927726,0.6395621579358874
130,Knox,Knox College,0.7071067811865475,0.749624060150376
131,Adrian,Adrian College,0.7071067811865475,0.5627807486631016
132,Dominican University,Dominican University,0.9999999999999998,0.5996573386636208
133,Newberry,Newberry College,0.7071067811865475,0.5907553551296505
134,Campbell,Campbell University,0.7071067811865475,0.6983097148710944
135,Wake Forest,Wake Forest University,0.816496580927726,0.35203668734826005
136,Boston College,Boston College,0.9999999999999998,0.32215339473469723
137,Kenyon,Kenyon College,0.7071067811865475,0.38381845091267885
138,Whitman,Whitman College,0.7071067811865475,0.5696055684454756
139,West Virginia,West Virginia University,0.816496580927726,0.8510380727558865
140,Lasell,Lasell College,0.7071067811865475,0.7614397321428571
141,Robert Morris,Robert Morris University,0.816496580927726,0.8050624011249781
142,Purdue Calumet,Purdue University-Calumet Campus,0.7071067811865475,0.6063296024700888
143,Queens (N.Y.),CUNY Queens College,0.5773502691896258,0.3701660361496427
144,Texas-Dallas,The University of Texas at Dallas,0.816496580927726,0.5857142857142857
145,City College of New York,CUNY New York City College of Technology,0.8164965809277261,0.7680497925311204
146,Houston Baptist,Houston Baptist University,0.816496580927726,0.7317779291553134
147,Hartwick,Hartwick College,0.7071067811865475,0.8423590504451038
148,Furman,Furman University,0.7071067811865475,0.6396774735427515
149,Wentworth Institute of Technology,Wentworth Institute of Technology,1.0000000000000002,0.5761470875366091
150,Indiana,Indiana University-Kokomo,0.7071067811865475,0.7354596622889306
151,Worcester Polytechnic Institute,Worcester Polytechnic Institute,1.0000000000000002,0.5158545115411518
152,Millersville,Millersville University of Pennsylvania,0.5773502691896258,0.7186067827681026
153,Washington,Washington College,0.7071067811865475,0.6654826577517761
154,Evergreen,The Evergreen State College,0.5773502691896258,0.9709412507896399
155,West Virginia Wesleyan,West Virginia Wesleyan College,0.8660254037844388,0.7695800227014756
156,Ohio Northern,Ohio Northern University,0.816496580927726,0.6784962406015037
157,American,American University,0.7071067811865475,0.43123396979196355
158,Notre Dame College,Notre Dame College,1.0000000000000002,0.9023500810372771
159,Norwich,Norwich University,0.7071067811865475,0.634858812074002
160,Wisconsin-Parkside,University of Wisconsin-Whitewater,0.7071067811865475,0.8467741935483871
161,Palm Beach Atlantic,Palm Beach Atlantic University,0.8660254037844388,0.8411619283065513
